FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,toilettype_design,handicapadgang,aabningstid_doegn,aabningsperiode,status,grafitti_ansvarlig,driftsbydel,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_tmf_kk.139,139,"Islands Brygge, Havneparken",Islands Brygge 12,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Amager Vest,725034.14679432,6174979.34667558,12.57845101,55.66838884,POINT (12.578451013958514 55.668388869908846)
toilet_puma_agg_tmf_kk.140,140,"Lergravsparken, ved Metro",Østrigsgade 67,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,727505.93068609,6174367.02087054,12.61716235,55.66174679,POINT (12.617162348112629 55.66174682332701)
toilet_puma_agg_tmf_kk.141,141,Englandsparken/Sundbyvesterparken,Englandsvej 59B,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Amager Vest,726627.06515911,6173082.67719598,12.60216108,55.65063981,POINT (12.602161080112957 55.6506398382766)
toilet_puma_agg_tmf_kk.142,142,Vigerslevparken Syd,Engdals allé 20,2500 Valby,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen;TMF (Kontrakter),Valby,718802.79885006,6173517.11519117,12.47840436,55.65812039,POINT (12.478404355352792 55.65812042681686)
toilet_puma_agg_tmf_kk.143,143,"Valbyparken, Rosenhaven",Hammelstrupvej 114,2450 København SV,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent;Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Valby,721499.28670691,6171701.41652474,12.51971874,55.64061507,POINT (12.519718744197448 55.640615107424864)
toilet_puma_agg_tmf_kk.144,144,Vigerslevparken Nord,Engdraget 24,2500 Valby,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Valby,718856.68327137,6174814.64619002,12.48029297,55.66973351,POINT (12.480292968103505 55.66973354336339)
toilet_puma_agg_tmf_kk.145,145,Rødegårdsparken,Rødegård 8A,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen;TMF (Kontrakter),Amager Øst,727129.907824,6174269.29616422,12.61111642,55.6610463,POINT (12.611116424201276 55.661046336601274)
toilet_puma_agg_tmf_kk.146,146,"Vestre Kirkegårds Allé, Hovedindgang",Vestre Kirkegårds Allé 15A,2450 København SV,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,722097.75159835,6174089.04196288,12.53113725,55.66175535,POINT (12.531137247867516 55.661755380455816)
toilet_puma_agg_tmf_kk.147,147,Bredegrund legeplads,Bredegrund 8,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,727296.93369134,6174053.44388803,12.61358748,55.65903255,POINT (12.613587477025497 55.65903258614272)
toilet_puma_agg_tmf_kk.148,148,"Lergravsparken, Legeplads",Lergravsvej 16,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,727590.88363504,6174458.02930448,12.6185854,55.66252314,POINT (12.618585402562719 55.66252316971888)
toilet_puma_agg_tmf_kk.149,149,Legepladsen Elba i Filipsparken,Parmagade 45,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,727642.93083463,6173499.21612674,12.61861682,55.65390059,POINT (12.618616821807475 55.65390062134461)
toilet_puma_agg_tmf_kk.150,150,"Remiseparken, Byggeren",Peder Lykkes Vej 73,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Vest,726303.24249747,6173293.71188296,12.59719912,55.65268313,POINT (12.59719912481194 55.652683166724195)
toilet_puma_agg_tmf_kk.151,151,Brønshøj Kirkevej / Brønshøj kirkegård,Brønshøj Kirkevej 8,2700 Brønshøj,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Brønshøj-Husum (udl.),719839.52342188,6178855.01071043,12.49912793,55.70552645,POINT (12.499127931780903 55.70552648291882)
toilet_puma_agg_tmf_kk.152,152,Bystævnet/Vestvolden,Kobbelvænget 15B,2700 Brønshøj,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Brønshøj-Husum (udl.),718516.2312299,6180057.82528569,12.47906878,55.716912,POINT (12.479068782797416 55.71691203526069)
toilet_puma_agg_tmf_kk.153,153,Strandstation 5,Havkajakvej 14,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent;Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,729476.75351226,6172986.2943748,12.64727322,55.64843899,POINT (12.647273224917408 55.64843902280977)
toilet_puma_agg_tmf_kk.154,154,Naturlegepladsen i Valbyparken,Hammelstrupvej  41,2450 København SV,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Valby,721479.05582766,6172154.79598426,12.519763,55.64469043,POINT (12.519762996079638 55.64469045839511)
toilet_puma_agg_tmf_kk.155,155,Strandstation 3,Amager Strand Promenaden 1,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent;Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,729571.02339617,6173675.9637688,12.64934403,55.65457892,POINT (12.64934402741736 55.65457894927764)
toilet_puma_agg_tmf_kk.156,156,Strandstation 1,Øresundsstien 5,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent;Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,728847.51676046,6174579.64577792,12.63862152,55.66302364,POINT (12.638621517683946 55.66302367070063)
toilet_puma_agg_tmf_kk.157,157,Strandstation 2,Kilometerbroen 3,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent;Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,729145.73317979,6174071.75886632,12.64292879,55.65832876,POINT (12.6429287873675 55.65832879730117)
toilet_puma_agg_tmf_kk.158,158,Femøren,Amager Strandvej 275,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,729282.760634,6172730.91255631,12.64398399,55.64624042,POINT (12.643983993565756 55.64624045020761)
toilet_puma_agg_tmf_kk.159,159,"Christianshavns Vold, Elefantens bastion",Christianshavns Voldgade 36A,1424 København K,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725916.95451452,6175205.18917368,12.59264417,55.67000449,POINT (12.592644165248782 55.67000452354494)
