FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,toilettype_design,handicapadgang,aabningstid_doegn,aabningsperiode,status,grafitti_ansvarlig,driftsbydel,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_tmf_kk.11,11,"Østre Anlæg, Huset",Stockholmsgade 62,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Indre By,725257.11286752,6177672.20890213,12.58419923,55.69243468,POINT (12.584199228193707 55.69243471002573)
toilet_puma_agg_tmf_kk.12,12,Emdrup Torv,Emdrupvej 185,2400 København NV,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Bispebjerg,721647.09379982,6180896.46268902,12.52948998,55.72301254,POINT (12.529489983052503 55.72301256884359)
toilet_puma_agg_tmf_kk.13,13,Enghave Plads,Enghave Plads 13B,1670 København V,Toilet med handicapadgang,Danfo,Ja,Døgnåbent;Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),722956.20134605,6174728.11700946,12.54527523,55.66709368,POINT (12.545275226240674 55.66709371118443)
toilet_puma_agg_tmf_kk.14,14,Ved Utterslev Friluftskreds,Engsvinget 46,2400 København NV,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Brønshøj-Husum (udl.),720734.4798137,6180149.03364456,12.51438562,55.71672555,POINT (12.514385620635075 55.7167255843147)
toilet_puma_agg_tmf_kk.15,15,Israels Plads,Frederiksborggade 21,1360 København K,Toilet med personale,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,724382.94894302,6176723.784593,12.56954435,55.68433408,POINT (12.569544347531595 55.68433411126563)
toilet_puma_agg_tmf_kk.16,16,"Fælledparken,  Kiosken",Per Henrik Lings Allé 5,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724346.7713032,6178823.55866,12.57068815,55.70318146,POINT (12.570688148919457 55.70318149105507)
toilet_puma_agg_tmf_kk.17,17,Halmtorvet,Halmtorvet 12A,1700 København V,Toilet med handicapadgang,Danfo,Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),723942.9069367,6175166.85771867,12.56128892,55.67057461,POINT (12.561288915476586 55.67057464195248)
toilet_puma_agg_tmf_kk.18,18,Havnegade,Havnegade 20,1058 København K,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725613.31910445,6175892.93881869,12.5883914,55.67631318,POINT (12.588391398725856 55.67631321055269)
toilet_puma_agg_tmf_kk.19,19,"Fælledparken, Serridslevvej Syd",Serridslevvej 15,2100 København Ø,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Østerbro,724463.11231191,6179141.12278157,12.57279594,55.70597554,POINT (12.572795935795455 55.705975576280835)
toilet_puma_agg_tmf_kk.20,20,Islands Brygge ovf nr 37,Islands Brygge 20B,2300 København S,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift;MidlertidigUdeAfDrift,Renhold City Middelalderbyen,Amager Vest,724767.30282458,6174627.14171872,12.57392874,55.66535379,POINT (12.57392874196603 55.66535382392115)
