FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,handicapadgang,status,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_andre_kk.55,55,VE BBHV,Svanevej 12,2400 København NV,Toilet,Nej,IDrift,722118.36981246,6178366.13364642,12.53492642,55.70010427,POINT (12.53492642044061 55.700104298255425)
toilet_puma_agg_andre_kk.56,56,Center for Kompetence og Beskæftigelse (CKB),Teglværksgade 31,2100 København Ø,Toilet,Nej,IDrift,723571.78981115,6179275.57364448,12.55874917,55.70759281,POINT (12.55874916957371 55.70759284565802)
toilet_puma_agg_andre_kk.57,57,Borgercenter Handicap,Thoravej 29,2400 København NV,Toilet,Nej,IDrift,721577.00981294,6179005.35364578,12.52684609,55.70608448,POINT (12.52684609182277 55.706084512899665)
toilet_puma_agg_andre_kk.58,58,Sydhavnens bibliotek,Wagnersvej 19,2450 København SV,Toilet,Nej,IDrift,722089.09981248,6172435.31365468,12.5296638,55.64692802,POINT (12.52966380055965 55.64692805383225)
toilet_puma_agg_andre_kk.59,59,Valby Kulturhus,Valgårdsvej 8,2500 Valby,Toilet,Nej,IDrift,721303.38981318,6173960.68365292,12.51843103,55.66096652,POINT (12.518431030993993 55.66096655572344)
toilet_puma_agg_andre_kk.60,60,Osramhuset,Valhalsgade 4,2200 København N,Toilet,Nej,IDrift,723018.66981165,6178731.4436455,12.54952084,55.70296754,POINT (12.549520843395044 55.702967577303)
toilet_puma_agg_andre_kk.61,61,Sundhedshus Vesterbro/Valby/Kgs. Enghave,Vesterbrogade 121,1620 København V,Toilet,Nej,IDrift,722778.26981186,6175120.21365064,12.54277005,55.67069171,POINT (12.542770046265419 55.67069173950657)
toilet_puma_agg_andre_kk.62,62,Københavns Museum,Vesterbrogade 59,1620 København V,Toilet,Nej,IDrift,723413.84981129,6175349.08365003,12.55304193,55.6724524,POINT (12.553041932555837 55.67245243583714)
toilet_puma_agg_andre_kk.63,63,Helgoland Badeanstalt,Øresundsstien 11,2300 København S,Toilet,Nej,IDrift,728932.34980628,6174658.87364825,12.64003331,55.66369415,POINT (12.640033314578275 55.66369417796215)
toilet_puma_agg_andre_kk.64,64,Svanemøllehallen,Østerbrogade 240,2100 København Ø,Toilet,Nej,IDrift,724787.66981005,6180077.96364279,12.57871948,55.71422674,POINT (12.578719482168875 55.71422676856042)
toilet_puma_agg_andre_kk.65,65,Østerbrohuset,Århusgade 103,2100 København Ø,Toilet,Nej,IDrift,725403.5498095,6179358.97364349,12.58791133,55.70749322,POINT (12.587911329553274 55.70749325763112)
toilet_puma_agg_andre_kk.66,66,Degnestavnen,Degnestavnen 20,2400 København NV,Toilet,Nej,IDrift,721430.97520154,6179502.55154639,12.52492849,55.7106102,POINT (12.524928493628924 55.710610230710245)
toilet_puma_agg_andre_kk.67,67,Det Flydende Aktivitetshus,Sandkaj 30,2150 Nordhavn,Toilet med handicapadgang,Ja,IDrift,726007.90333338,6179254.89433171,12.59742416,55.70627874,POINT (12.597424158295583 55.70627877649286)
toilet_puma_agg_andre_kk.68,68,Københavns Stadsarkiv,Rådhuspladsen 1,1599 København V,Toilet,Nej,IDrift,724434.92981037,6175755.61364898,12.56957767,55.67562753,POINT (12.569577674939065 55.67562756516911)
toilet_puma_agg_andre_kk.69,69,"Kulturstationen Vanløse, bibliotek",Jernbane Allé 38,2720 Vanløse,Toilet,Nej,IDrift,719455.01981483,6176716.64364989,12.49130888,55.68652214,POINT (12.491308875264277 55.68652217530138)
toilet_puma_agg_andre_kk.70,70,Kultur Østerbro  (Østerbro bibliotek),Dag Hammarskjolds Allé 19,2100 København Ø,Toilet,Nej,IDrift,725090.66980978,6177902.07364568,12.58174536,55.69457327,POINT (12.581745359816535 55.69457329954516)
toilet_puma_agg_andre_kk.71,71,Øbro-Hallen,Gunnar Nu Hansens Plads 3,2100 København Ø,Toilet,Nej,IDrift,724689.70981014,6179016.86364432,12.57629293,55.70475633,POINT (12.576292926445763 55.704756360639415)
toilet_puma_agg_andre_kk.72,72,VerdensKulturCentret,Nørre Allé 7,2200 København N,Toilet,Nej,IDrift,723777.58981097,6177495.21364687,12.56056438,55.69153163,POINT (12.560564378773378 55.691531662190776)
